"","ERR12265465","ERR12265466","ERR12265467","ERR12265468","ERR12265469","ERR12265470","ERR12265471","ERR12265472","ERR12265473"
"AT1G01010.1",468.338,432.513,309.354,304.442,321.105,409.415,368.976,397.91,428.97
"AT1G01020.1",49.13,48.38,46.627,54.224,104.972,21.259,30.67,47.353,50.183
"AT1G01020.2",5.497,40.153,14.583,0,0,31.126,0,25.822,32.735
"AT1G01020.3",23.356,0,24.998,11.765,3.844,0,59.245,0,0
"AT1G01020.4",15.587,37.437,12.668,0,0,0,0,0,21.458
"AT1G01020.5",0,12.848,36.408,45.495,15.465,31.877,41.257,14.935,28.772
"AT1G01020.6",0,0,0,3.62,0,0,0,0,0
"AT1G01030.1",41.996,35.547,20.817,0,10.025,15.383,0,0,14.713
"AT1G01030.2",0,0,0,11.327,0,0,26.118,11.895,0
"AT1G01040.1",801.203,797.811,360.561,70.249,327.106,171.191,663.666,465.163,446.845
"AT1G01040.2",0,0,130.066,176.685,0,206.679,0,0,0
"AT1G01050.1",728.101,901.892,1016.612,570.801,827.749,803.976,966.308,848.043,888.92
"AT1G01050.2",43.943,0,0,0,0,0,0,0,0
"AT1G01060.1",0,0,57.42,0,0,51.757,61.411,122.404,116.571
"AT1G01060.2",0,0,0,16.786,0,9.371,0,0,0
"AT1G01060.3",0,0,0,0,11.696,0,0,0,0
"AT1G01060.4",45.503,89.496,60.828,163.629,97.812,112.069,23.315,60.997,27.918
"AT1G01060.5",0,0,0,0,0,0,0,0,0
"AT1G01060.6",0,0,0,0,0,0,0,0,0
"AT1G01060.7",0,12.916,7.086,0,0,49.32,8.242,0,0
"AT1G01060.8",29.58,0,0,0,69.091,0,0,0,0
"AT1G01070.1",112.4,85.268,203.149,115.815,153.348,263.725,275.58,267.808,248.008
"AT1G01070.2",0,18.795,0,9.258,0,0,10.943,0,0
"AT1G01080.1",0,25.127,0,0,0,17.114,12.152,0,30.147
"AT1G01080.2",48.09,23.461,33.186,14.168,24.823,0,0,16.767,0
"AT1G01080.3",17.577,6.128,37.086,12.245,9.321,13.528,41.291,13.887,13.315
"AT1G01090.1",1239.733,1243.915,1720.456,1143.731,1544.769,1658.557,1675.252,1664.249,1902.684
"AT1G01100.1",1126.429,1310.874,1596.391,892.863,1593.475,1470.493,1606.142,1333.126,1593.392
"AT1G01100.2",38.682,0,7.801,6.572,15.74,44.064,7.758,43.172,8.655
"AT1G01100.3",463.7,691.629,704.931,743.566,586.134,731.353,672.478,524.606,719.011
"AT1G01100.4",0,0,0,0,0,0,0,0,64.403
"AT1G01110.1",36.755,0,0,0,0,0,14.724,0,0
"AT1G01110.2",16.044,89.232,91.8,26.805,41.23,57.662,79.031,34.895,65.258
"AT1G01120.1",229.445,158.235,347.126,307.019,300.683,408.694,286.571,570.522,519.794
"AT1G01130.1",3.404,3.729,11.093,4.893,5.287,1.654,10.127,0,6.478
"AT1G01140.1",35.425,0,8.945,0,0,3.238,4.27,0,0
"AT1G01140.2",0,0,0,0,4.627,0,0,0,4.769
"AT1G01140.3",0,6.904,0,3.86,0,0,0,4.976,0
"AT1G01150.1",0,0,0,0,0,0,0,0,0
"AT1G01150.2",0,0,0,0,0,0,0,0,0
"AT1G01150.3",0,0,0,0,0,0,0,0,1
"AT1G01160.1",465.059,421.026,382.147,265.876,317.765,340.7,496.067,371.318,476
"AT1G01160.2",0,0,8.81,5.22,0,14.434,8.966,3.235,0
"AT1G01170.1",96.079,133.216,91.16,30.161,28.603,21.926,108.238,49.282,35.386
"AT1G01170.2",2.813,0,2.871,0,0,0,0,0,25.474
"AT1G01180.1",353.834,277.976,316.11,135.722,157.689,183.58,261.364,192.315,219.336
"AT1G01190.1",88.645,49.277,72.637,28.305,12.474,0,38.113,62.37,26.959
"AT1G01190.2",0,32.631,22.677,5.316,16.744,29.258,18.128,44.599,27.258
"AT1G01200.1",6.014,4.516,11.577,6.011,6.918,6.525,4.133,11.404,7.238
"AT1G01210.1",44.221,61.214,43.396,67.302,52.872,55.327,69.459,85.784,69.397
"AT1G01210.2",0,0,0,0,0,0,0,0,0
"AT1G01210.3",21.078,35.091,32.027,9.527,17.474,19.218,22.444,12.844,29.371
"AT1G01220.1",73.298,52.698,94.658,11.044,0,115.809,0,0,0
"AT1G01220.2",0,0,0,0,0,0,0,0,0
"AT1G01220.3",0,0,8.647,0,0,0,0,0,0
"AT1G01220.4",33.148,0,0,0,0,0,0,0,140.32
"AT1G01220.5",0,0,0,0,0,0,124.56,66.665,0
"AT1G01220.6",10.573,0,0,0,16.802,30.279,0,0,0
"AT1G01220.7",48.473,109.946,27.629,96.599,127.884,0,81.439,111.143,56.814
"AT1G01220.8",0,0,0,0,0,0,0,15.875,0
"AT1G01225.1",49.328,20.088,58.476,39.24,29.055,20.951,33.391,50.429,49.183
"AT1G01230.1",461.034,357.757,404.264,299.268,356.116,407.659,373.98,454.161,437.932
"AT1G01240.1",319.975,196.414,361.892,119.509,199.011,191.772,220.75,188.819,258.455
"AT1G01240.2",39.507,0,0,20.425,0,0,0,22.001,0
"AT1G01240.3",22.125,0,0,9.78,0,32.08,74.581,0,38.747
"AT1G01240.4",0,95.103,10.115,0,0,0,121.013,67.418,8.121
"AT1G01240.5",0,76.624,15.245,0,2.522,0,0,5.661,0
"AT1G01250.1",0,0,0,0,0,0,0,0,0
"AT1G01260.1",102.468,107.918,43.863,22.545,41.672,12.847,156.686,73.608,153.497
"AT1G01260.2",141.33,94.323,88.659,85.007,140.476,82.265,168.723,96.144,0
"AT1G01260.3",38.481,19.229,141.808,32.068,11.921,162.964,14.432,22.294,135.382
"AT1G01280.1",0,0,0,0,0,0,0,0,0
"AT1G01290.1",13.855,7.966,37.632,22.36,39.897,7.028,18.652,23.98,27.134
"AT1G01290.2",77.459,81.882,78.413,41.2,73.924,113.785,93.839,90.064,82.804
"AT1G01300.1",372.475,427.54,675.152,345.456,461.526,524.426,426.593,472.564,549.498
"AT1G01305.1",0,0,0,0,0,0,0,0,0
"AT1G01310.1",0,0,0,0,1,2.533,1.003,1.401,0
"AT1G01320.1",0,0,0,0,0,0,0,0,0
"AT1G01320.2",0,0,0,0,0,0,0,0,0
"AT1G01320.3",238.065,272.53,191.658,63.222,155.909,156.858,230.316,157.636,244.484
"AT1G01335.1",0,0,0,0,0,0,0,0,0
"AT1G01340.1",0,40.494,0,29.849,15.446,34.136,12.029,0,0
"AT1G01340.2",1914.613,1466.532,1492.467,1192.632,1094.267,1769.844,1727.266,1914.436,2000.667
"AT1G01350.1",229.085,297.854,313.115,213.533,282.064,338.431,389.668,291.228,344.059
"AT1G01355.1",0,0,0,0,0,0,0,0,0
"AT1G01355.2",0,0,0,0,0,0,0,0,0
"AT1G01355.3",0,0,0,0,0,0,0,0,0
"AT1G01360.1",358.512,412.688,472.014,268.87,364.092,402.548,427.576,423.507,430.983
"AT1G01370.1",0,0,0,0,0,0,5.787,0,0
"AT1G01370.2",3.239,8.822,0,0,0,0,0,0,0
"AT1G01370.3",1.903,0,2.41,0,0,0,0,0,0
"AT1G01370.4",12.551,26.068,35.72,17.486,20.056,25.857,33.688,23.117,21.191
"AT1G01380.1",0,0,9.461,24.885,29.954,30.377,7.231,20.032,10.751
"AT1G01380.2",0,0,1.746,0,1.582,1.708,1.734,0,0
"AT1G01380.3",1.008,5.187,0,0,0,3.15,0,0,0
"AT1G01390.1",0,2,0,0,0,0,0,0,0
"AT1G01390.2",2.007,0,0,0,1.004,0,0,0,0
"AT1G01400.1",0,0,0,0,0,0,0,0,0
"AT1G01410.1",0,0,0,0,0,0,0,0,0
"AT1G01420.1",3.345,1.127,0,0,1.028,0,4.341,0,5.031
"AT1G01420.2",0,0,5.825,1.001,0,0,0,6.275,0
