"","ERR12265471","ERR12265472","ERR12265473"
"AT1G01010.1",368.976,397.91,428.97
"AT1G01020.1",30.67,47.353,50.183
"AT1G01020.2",0,25.822,32.735
"AT1G01020.3",59.245,0,0
"AT1G01020.4",0,0,21.458
"AT1G01020.5",41.257,14.935,28.772
"AT1G01020.6",0,0,0
"AT1G01030.1",0,0,14.713
"AT1G01030.2",26.118,11.895,0
"AT1G01040.1",663.666,465.163,446.845
"AT1G01040.2",0,0,0
"AT1G01050.1",966.308,848.043,888.92
"AT1G01050.2",0,0,0
"AT1G01060.1",61.411,122.404,116.571
"AT1G01060.2",0,0,0
"AT1G01060.3",0,0,0
"AT1G01060.4",23.315,60.997,27.918
"AT1G01060.5",0,0,0
"AT1G01060.6",0,0,0
"AT1G01060.7",8.242,0,0
"AT1G01060.8",0,0,0
"AT1G01070.1",275.58,267.808,248.008
"AT1G01070.2",10.943,0,0
"AT1G01080.1",12.152,0,30.147
"AT1G01080.2",0,16.767,0
"AT1G01080.3",41.291,13.887,13.315
"AT1G01090.1",1675.252,1664.249,1902.684
"AT1G01100.1",1606.142,1333.126,1593.392
"AT1G01100.2",7.758,43.172,8.655
"AT1G01100.3",672.478,524.606,719.011
"AT1G01100.4",0,0,64.403
"AT1G01110.1",14.724,0,0
"AT1G01110.2",79.031,34.895,65.258
"AT1G01120.1",286.571,570.522,519.794
"AT1G01130.1",10.127,0,6.478
"AT1G01140.1",4.27,0,0
"AT1G01140.2",0,0,4.769
"AT1G01140.3",0,4.976,0
"AT1G01150.1",0,0,0
"AT1G01150.2",0,0,0
"AT1G01150.3",0,0,1
"AT1G01160.1",496.067,371.318,476
"AT1G01160.2",8.966,3.235,0
"AT1G01170.1",108.238,49.282,35.386
"AT1G01170.2",0,0,25.474
"AT1G01180.1",261.364,192.315,219.336
"AT1G01190.1",38.113,62.37,26.959
"AT1G01190.2",18.128,44.599,27.258
"AT1G01200.1",4.133,11.404,7.238
"AT1G01210.1",69.459,85.784,69.397
"AT1G01210.2",0,0,0
"AT1G01210.3",22.444,12.844,29.371
"AT1G01220.1",0,0,0
"AT1G01220.2",0,0,0
"AT1G01220.3",0,0,0
"AT1G01220.4",0,0,140.32
"AT1G01220.5",124.56,66.665,0
"AT1G01220.6",0,0,0
"AT1G01220.7",81.439,111.143,56.814
"AT1G01220.8",0,15.875,0
"AT1G01225.1",33.391,50.429,49.183
"AT1G01230.1",373.98,454.161,437.932
"AT1G01240.1",220.75,188.819,258.455
"AT1G01240.2",0,22.001,0
"AT1G01240.3",74.581,0,38.747
"AT1G01240.4",121.013,67.418,8.121
"AT1G01240.5",0,5.661,0
"AT1G01250.1",0,0,0
"AT1G01260.1",156.686,73.608,153.497
"AT1G01260.2",168.723,96.144,0
"AT1G01260.3",14.432,22.294,135.382
"AT1G01280.1",0,0,0
"AT1G01290.1",18.652,23.98,27.134
"AT1G01290.2",93.839,90.064,82.804
