"","ERR12265468","ERR12265469","ERR12265470"
"AT1G01010.1",304.442,321.105,409.415
"AT1G01020.1",54.224,104.972,21.259
"AT1G01020.2",0,0,31.126
"AT1G01020.3",11.765,3.844,0
"AT1G01020.4",0,0,0
"AT1G01020.5",45.495,15.465,31.877
"AT1G01020.6",3.62,0,0
"AT1G01030.1",0,10.025,15.383
"AT1G01030.2",11.327,0,0
"AT1G01040.1",70.249,327.106,171.191
"AT1G01040.2",176.685,0,206.679
"AT1G01050.1",570.801,827.749,803.976
"AT1G01050.2",0,0,0
"AT1G01060.1",0,0,51.757
"AT1G01060.2",16.786,0,9.371
"AT1G01060.3",0,11.696,0
"AT1G01060.4",163.629,97.812,112.069
"AT1G01060.5",0,0,0
"AT1G01060.6",0,0,0
"AT1G01060.7",0,0,49.32
"AT1G01060.8",0,69.091,0
"AT1G01070.1",115.815,153.348,263.725
"AT1G01070.2",9.258,0,0
"AT1G01080.1",0,0,17.114
"AT1G01080.2",14.168,24.823,0
"AT1G01080.3",12.245,9.321,13.528
"AT1G01090.1",1143.731,1544.769,1658.557
"AT1G01100.1",892.863,1593.475,1470.493
"AT1G01100.2",6.572,15.74,44.064
"AT1G01100.3",743.566,586.134,731.353
"AT1G01100.4",0,0,0
"AT1G01110.1",0,0,0
"AT1G01110.2",26.805,41.23,57.662
"AT1G01120.1",307.019,300.683,408.694
"AT1G01130.1",4.893,5.287,1.654
"AT1G01140.1",0,0,3.238
"AT1G01140.2",0,4.627,0
"AT1G01140.3",3.86,0,0
"AT1G01150.1",0,0,0
"AT1G01150.2",0,0,0
"AT1G01150.3",0,0,0
"AT1G01160.1",265.876,317.765,340.7
"AT1G01160.2",5.22,0,14.434
"AT1G01170.1",30.161,28.603,21.926
"AT1G01170.2",0,0,0
"AT1G01180.1",135.722,157.689,183.58
"AT1G01190.1",28.305,12.474,0
"AT1G01190.2",5.316,16.744,29.258
"AT1G01200.1",6.011,6.918,6.525
"AT1G01210.1",67.302,52.872,55.327
"AT1G01210.2",0,0,0
"AT1G01210.3",9.527,17.474,19.218
"AT1G01220.1",11.044,0,115.809
"AT1G01220.2",0,0,0
"AT1G01220.3",0,0,0
"AT1G01220.4",0,0,0
"AT1G01220.5",0,0,0
"AT1G01220.6",0,16.802,30.279
"AT1G01220.7",96.599,127.884,0
"AT1G01220.8",0,0,0
"AT1G01225.1",39.24,29.055,20.951
"AT1G01230.1",299.268,356.116,407.659
"AT1G01240.1",119.509,199.011,191.772
"AT1G01240.2",20.425,0,0
"AT1G01240.3",9.78,0,32.08
"AT1G01240.4",0,0,0
"AT1G01240.5",0,2.522,0
"AT1G01250.1",0,0,0
"AT1G01260.1",22.545,41.672,12.847
"AT1G01260.2",85.007,140.476,82.265
"AT1G01260.3",32.068,11.921,162.964
"AT1G01280.1",0,0,0
"AT1G01290.1",22.36,39.897,7.028
"AT1G01290.2",41.2,73.924,113.785
"AT1G01300.1",345.456,461.526,524.426
"AT1G01305.1",0,0,0
"AT1G01310.1",0,1,2.533
"AT1G01320.1",0,0,0
"AT1G01320.2",0,0,0
"AT1G01320.3",63.222,155.909,156.858
"AT1G01335.1",0,0,0
"AT1G01340.1",29.849,15.446,34.136
"AT1G01340.2",1192.632,1094.267,1769.844
"AT1G01350.1",213.533,282.064,338.431
"AT1G01355.1",0,0,0
"AT1G01355.2",0,0,0
"AT1G01355.3",0,0,0
"AT1G01360.1",268.87,364.092,402.548
"AT1G01370.1",0,0,0
"AT1G01370.2",0,0,0
"AT1G01370.3",0,0,0
"AT1G01370.4",17.486,20.056,25.857
"AT1G01380.1",24.885,29.954,30.377
"AT1G01380.2",0,1.582,1.708
"AT1G01380.3",0,0,3.15
"AT1G01390.1",0,0,0
"AT1G01390.2",0,1.004,0
"AT1G01400.1",0,0,0
"AT1G01410.1",0,0,0
"AT1G01420.1",0,1.028,0
"AT1G01420.2",1.001,0,0
"AT1G01430.1",211.478,233.321,286.068
"AT1G01440.1",242.96,268.22,417.3
"AT1G01450.1",108.874,112.806,177.147
"AT1G01453.1",2.03,2.438,0
"AT1G01453.2",0,0,3.509
"AT1G01460.1",0,0,0
"AT1G01470.1",621.382,729.731,814.222
"AT1G01480.1",44.428,5.894,46.096
"AT1G01480.2",0,60.978,0
"AT1G01490.1",145.154,196.024,254.643
"AT1G01490.2",383.485,444.041,468.641
"AT1G01490.3",6.308,16.989,22.495
"AT1G01490.4",0,0,0
"AT1G01500.1",86.141,63.856,94.484
