"","ERR12265465","ERR12265466","ERR12265467"
"AT1G01010.1",468.338,432.513,309.354
"AT1G01020.1",49.13,48.38,46.627
"AT1G01020.2",5.497,40.153,14.583
"AT1G01020.3",23.356,0,24.998
"AT1G01020.4",15.587,37.437,12.668
"AT1G01020.5",0,12.848,36.408
"AT1G01020.6",0,0,0
"AT1G01030.1",41.996,35.547,20.817
"AT1G01030.2",0,0,0
"AT1G01040.1",801.203,797.811,360.561
"AT1G01040.2",0,0,130.066
"AT1G01050.1",728.101,901.892,1016.612
"AT1G01050.2",43.943,0,0
"AT1G01060.1",0,0,57.42
"AT1G01060.2",0,0,0
"AT1G01060.3",0,0,0
"AT1G01060.4",45.503,89.496,60.828
"AT1G01060.5",0,0,0
"AT1G01060.6",0,0,0
"AT1G01060.7",0,12.916,7.086
"AT1G01060.8",29.58,0,0
"AT1G01070.1",112.4,85.268,203.149
"AT1G01070.2",0,18.795,0
"AT1G01080.1",0,25.127,0
"AT1G01080.2",48.09,23.461,33.186
"AT1G01080.3",17.577,6.128,37.086
"AT1G01090.1",1239.733,1243.915,1720.456
"AT1G01100.1",1126.429,1310.874,1596.391
"AT1G01100.2",38.682,0,7.801
"AT1G01100.3",463.7,691.629,704.931
"AT1G01100.4",0,0,0
"AT1G01110.1",36.755,0,0
"AT1G01110.2",16.044,89.232,91.8
"AT1G01120.1",229.445,158.235,347.126
"AT1G01130.1",3.404,3.729,11.093
"AT1G01140.1",35.425,0,8.945
"AT1G01140.2",0,0,0
"AT1G01140.3",0,6.904,0
"AT1G01150.1",0,0,0
"AT1G01150.2",0,0,0
"AT1G01150.3",0,0,0
"AT1G01160.1",465.059,421.026,382.147
"AT1G01160.2",0,0,8.81
"AT1G01170.1",96.079,133.216,91.16
"AT1G01170.2",2.813,0,2.871
"AT1G01180.1",353.834,277.976,316.11
"AT1G01190.1",88.645,49.277,72.637
"AT1G01190.2",0,32.631,22.677
"AT1G01200.1",6.014,4.516,11.577
"AT1G01210.1",44.221,61.214,43.396
"AT1G01210.2",0,0,0
"AT1G01210.3",21.078,35.091,32.027
"AT1G01220.1",73.298,52.698,94.658
"AT1G01220.2",0,0,0
"AT1G01220.3",0,0,8.647
"AT1G01220.4",33.148,0,0
"AT1G01220.5",0,0,0
"AT1G01220.6",10.573,0,0
"AT1G01220.7",48.473,109.946,27.629
"AT1G01220.8",0,0,0
"AT1G01225.1",49.328,20.088,58.476
"AT1G01230.1",461.034,357.757,404.264
"AT1G01240.1",319.975,196.414,361.892
"AT1G01240.2",39.507,0,0
"AT1G01240.3",22.125,0,0
"AT1G01240.4",0,95.103,10.115
"AT1G01240.5",0,76.624,15.245
"AT1G01250.1",0,0,0
"AT1G01260.1",102.468,107.918,43.863
"AT1G01260.2",141.33,94.323,88.659
"AT1G01260.3",38.481,19.229,141.808
"AT1G01280.1",0,0,0
"AT1G01290.1",13.855,7.966,37.632
"AT1G01290.2",77.459,81.882,78.413
"AT1G01300.1",372.475,427.54,675.152
"AT1G01305.1",0,0,0
"AT1G01310.1",0,0,0
"AT1G01320.1",0,0,0
"AT1G01320.2",0,0,0
"AT1G01320.3",238.065,272.53,191.658
"AT1G01335.1",0,0,0
"AT1G01340.1",0,40.494,0
"AT1G01340.2",1914.613,1466.532,1492.467
"AT1G01350.1",229.085,297.854,313.115
"AT1G01355.1",0,0,0
"AT1G01355.2",0,0,0
"AT1G01355.3",0,0,0
"AT1G01360.1",358.512,412.688,472.014
"AT1G01370.1",0,0,0
"AT1G01370.2",3.239,8.822,0
"AT1G01370.3",1.903,0,2.41
"AT1G01370.4",12.551,26.068,35.72
"AT1G01380.1",0,0,9.461
"AT1G01380.2",0,0,1.746
"AT1G01380.3",1.008,5.187,0
"AT1G01390.1",0,2,0
"AT1G01390.2",2.007,0,0
"AT1G01400.1",0,0,0
"AT1G01410.1",0,0,0
"AT1G01420.1",3.345,1.127,0
"AT1G01420.2",0,0,5.825
"AT1G01430.1",363.811,275.978,383.793
"AT1G01440.1",629.385,580.433,452.525
"AT1G01450.1",218.603,246.651,181.614
"AT1G01453.1",0,1,7.387
"AT1G01453.2",3.879,0,0
"AT1G01460.1",0,0,0
"AT1G01470.1",1012.102,604.197,1015.218
"AT1G01480.1",9.631,0,0
"AT1G01480.2",0,5.224,11.109
"AT1G01490.1",117.498,224.223,188.027
"AT1G01490.2",217.509,221.278,273.761
"AT1G01490.3",6.451,11.151,26.237
"AT1G01490.4",5.8,0,0
"AT1G01500.1",121.812,93.018,90.38
"AT1G01510.1",481.967,568.753,481.853
"AT1G01520.1",0,0,0
"AT1G01520.2",0,0,0
"AT1G01520.3",1,0,0
"AT1G01520.4",0,0,0
"AT1G01520.5",0,1,0
"AT1G01530.1",0,0,0
"AT1G01540.1",7.994,26.146,29.128
"AT1G01540.2",325.128,354.704,436.278
"AT1G01550.1",4900.025,4368.411,4170.252
"AT1G01550.2",357.265,365.199,290.097
"AT1G01560.1",0,0,0
"AT1G01560.2",8.502,10.186,9.441
"AT1G01560.3",0,0,0
"AT1G01560.4",0,0,0
"AT1G01570.1",0,0,10.682
"AT1G01570.2",4.282,12.177,0
"AT1G01580.1",671.979,1912.266,790.53
"AT1G01580.2",0,0,0
"AT1G01590.1",0,0,0
"AT1G01600.1",1.189,1.106,18.692
"AT1G01610.1",122.491,106.13,325.09
"AT1G01620.1",20149.651,16333.638,16934.185
"AT1G01620.2",1591.565,2939.098,3112.041
"AT1G01630.1",435.312,327.437,463.666
"AT1G01640.1",722.279,624.892,722.517
"AT1G01640.2",0,12.665,30.33
"AT1G01650.1",740.646,663.502,747.508
"AT1G01650.2",0,0,12.642
"AT1G01650.3",0,0,0
"AT1G01650.4",0,50.297,0
"AT1G01660.1",0,0,0
"AT1G01660.2",54.83,32.97,47.615
"AT1G01670.1",7.686,0,0
"AT1G01670.2",28.21,32.103,34.97
"AT1G01670.3",0,0,0
"AT1G01680.1",26.195,23.237,22.354
"AT1G01690.1",12.987,44.688,24.002
"AT1G01690.2",25.148,0,0
"AT1G01690.3",0,0,37.381
"AT1G01695.1",3.663,0,2.849
"AT1G01700.1",2.664,0,6.734
"AT1G01700.2",0,0,0
"AT1G01700.3",0,0,0
"AT1G01700.4",6.169,0,0
"AT1G01700.5",0,7.538,0
"AT1G01710.1",355.229,356.088,335.8
"AT1G01715.1",6.555,3.819,9.153
"AT1G01715.2",8.296,6.482,8.57
"AT1G01720.1",111.374,187.048,156.929
"AT1G01725.1",123.437,124.038,119.835
"AT1G01730.1",394.779,466.374,489.604
"AT1G01740.1",0,0,0
"AT1G01740.2",23.956,37.7,49.665
"AT1G01740.3",18.766,0,0
"AT1G01740.4",0,0,0
"AT1G01740.5",8.83,0,24.037
"AT1G01750.1",164.569,108.686,320.043
"AT1G01750.2",40.468,33.762,21.326
"AT1G01760.1",39.29,0,35.226
"AT1G01760.2",30.013,44.242,10.996
"AT1G01760.3",0,6.11,0
"AT1G01760.4",0,0,0
"AT1G01770.1",425.632,514.131,303.468
"AT1G01780.1",491.233,420.604,424.289
"AT1G01790.1",240.934,123.649,194.152
"AT1G01790.2",0,67.192,0
"AT1G01800.1",763.333,825.067,763.475
"AT1G01800.2",0,0,7.621
"AT1G01810.1",3.108,0.682,2.022
"AT1G01820.1",1631.906,1701.184,1510.333
"AT1G01830.1",0,0,0
"AT1G01830.2",215.02,247.57,231.011
"AT1G01830.3",0,0,0
"AT1G01840.1",4.24,3.863,4.251
"AT1G01860.1",41.13,31.739,41.72
"AT1G01860.2",4.413,0,0
"AT1G01860.3",0,0,6.263
"AT1G01860.4",0,0,0
"AT1G01860.5",0,0,0
"AT1G01880.1",0,0,0
"AT1G01880.2",0,16.629,0
"AT1G01880.3",0,0,0
"AT1G01880.4",17.177,0,9.831
"AT1G01900.1",40.109,22.588,35.194
"AT1G01910.1",0,109.531,0
"AT1G01910.2",173.572,330.071,364.453
"AT1G01910.3",142.762,0,10.298
"AT1G01910.4",8.236,0,52.944
"AT1G01910.5",51.718,0,0
"AT1G01920.1",5.048,0,3.716
"AT1G01920.2",184.757,0,30.753
"AT1G01920.3",0,4.489,33.017
"AT1G01920.4",0,186.63,141.734
"AT1G01920.5",8.064,56.976,0
"AT1G01930.1",176.342,224.341,179.611
"AT1G01940.1",151.571,109.802,157.303
"AT1G01950.1",310.016,284.847,222.036
"AT1G01950.2",0,0,0
"AT1G01950.3",0,0,0
"AT1G01950.4",0,0,0
"AT1G01960.1",1964.683,2097.723,1826.994
"AT1G01970.1",63.24,54.446,48.221
"AT1G01980.1",0,0,0
"AT1G01990.1",359.813,291.014,366.431
"AT1G02000.1",169.602,129.651,224.852
"AT1G02010.1",81.838,0,32.188
"AT1G02010.2",0,0,0
"AT1G02010.3",0,77.105,0
"AT1G02010.4",0,0,0
"AT1G02010.5",0,0,0
"AT1G02010.6",0,15.678,38.481
"AT1G02020.1",114.216,84.855,87.162
"AT1G02020.2",0,0,7.162
"AT1G02020.3",0,31.586,52.595
"AT1G02030.1",0,0,4.843
"AT1G02040.1",0,0,0
"AT1G02050.1",109.922,132.231,114.397
"AT1G02060.1",134.668,116.599,80.543
"AT1G02065.1",0,0,0
"AT1G02065.2",0,0,0
"AT1G02067.1",0,0,0
"AT1G02070.1",5.046,2.948,9.245
"AT1G02080.1",0,50.115,0
"AT1G02080.2",2283.111,2562.407,1639.603
"AT1G02080.3",0,236.428,330.772
"AT1G02090.1",304.083,218.694,303.456
"AT1G02090.2",45.192,47.412,42.655
"AT1G02090.3",28.298,34.168,32.612
"AT1G02100.1",299.449,246.956,276.062
"AT1G02100.2",0,0,12.602
"AT1G02100.3",432.545,568.103,394.712
"AT1G02110.1",286.706,379.179,374.059
"AT1G02120.1",1547.538,1570.904,1123.363
"AT1G02120.2",255.469,230.136,164.358
"AT1G02120.3",26.069,165.266,81.034
"AT1G02130.1",609.152,570.73,720.897
"AT1G02140.1",997.56,1120.256,1138.606
"AT1G02145.1",0,0,0
"AT1G02145.2",0,0,0
"AT1G02145.3",201.573,166.383,219.75
"AT1G02145.4",22.224,91.968,37.905
"AT1G02150.1",328.325,355.619,285.007
"AT1G02160.1",143.776,154.051,171.541
"AT1G02160.2",9.609,1.963,4.191
"AT1G02170.1",674.1,534.061,655.709
"AT1G02180.1",19.932,23.277,21.649
"AT1G02190.1",0,0,0
"AT1G02190.2",0,0,0
"AT1G02205.1",0,0,0
"AT1G02205.2",0,0,0
"AT1G02205.3",0,1.007,0
"AT1G02205.4",0,0,0
"AT1G02205.5",0,0,0
"AT1G02210.1",0,0,0
"AT1G02220.1",282.54,218.129,307.988
"AT1G02230.1",13.05,23.544,18.663
"AT1G02250.1",0,0,0
"AT1G02260.1",213.904,115.074,97.529
"AT1G02260.2",54.327,107.928,183.006
"AT1G02270.1",159.349,167.334,184.083
"AT1G02270.2",39.557,0,0
"AT1G02280.1",172.348,173.46,147.408
"AT1G02280.2",29.186,94.561,45.225
"AT1G02290.1",85.934,103.506,96.979
"AT1G02300.1",70.562,77.737,53.449
"AT1G02305.1",2403.002,2562.383,2315.264
"AT1G02310.1",0,0,0
"AT1G02310.2",8.05,3.008,7.408
"AT1G02320.1",0,0,0
"AT1G02330.1",326.737,283.354,254.73
"AT1G02335.1",404.877,275.303,469.062
"AT1G02340.1",11.174,47.477,22.327
"AT1G02340.2",0,0,0
"AT1G02350.1",0,0,0
"AT1G02360.1",288.307,438.313,554.757
"AT1G02360.2",220.665,68.559,0
"AT1G02360.3",0,0,0
"AT1G02370.1",71.544,86.492,68.871
"AT1G02380.1",7.909,8.87,9.481
"AT1G02390.1",5.211,3.296,16.693
"AT1G02400.1",190.575,95.161,86.46
"AT1G02400.2",0,0,0
"AT1G02405.1",0,0,0
"AT1G02410.1",104.283,147.118,167.079
"AT1G02410.2",22.288,24.001,13.584
"AT1G02410.3",0,0,0
"AT1G02420.1",28.672,18.999,21.934
"AT1G02430.1",77.548,70.872,75.598
"AT1G02430.2",0,0,0
"AT1G02440.1",15.662,20.185,15.606
"AT1G02440.2",14.014,6.148,4.065
"AT1G02450.1",4.924,7.936,0
"AT1G02460.1",52.002,50.878,52.74
"AT1G02470.1",1,1.072,5.108
"AT1G02470.2",0,0,0
"AT1G02475.1",31.201,21.116,37.089
"AT1G02490.1",0,0,0
"AT1G02500.1",6456.781,6543.56,7769.237
"AT1G02500.2",3480.725,2053.173,4713.556
"AT1G02510.1",0,0,0
"AT1G02520.1",450.135,396.193,207.052
"AT1G02520.2",0,18.13,0
"AT1G02520.3",406.835,432.505,335.361
"AT1G02530.1",2.702,5.016,4.849
"AT1G02530.2",6.37,0,0
"AT1G02540.1",0,0,0
"AT1G02550.1",0,0,0
"AT1G02560.1",497.908,482.206,577.798
"AT1G02570.1",20.679,13.268,51.391
"AT1G02575.1",17.115,7.932,36.734
"AT1G02580.1",0,0,0
"AT1G02580.2",0,0,1.651
"AT1G02590.1",0,0,0
"AT1G02610.1",152.553,220.78,144.229
"AT1G02610.2",14.629,0,0
"AT1G02610.3",0,0,0
"AT1G02620.1",1.375,2.23,2
"AT1G02630.1",12.562,0,5.71
"AT1G02630.2",0,9.228,0
"AT1G02640.1",1798.543,1601.657,2156.815
"AT1G02650.1",6.71,0,4.381
"AT1G02650.2",0,0,0
"AT1G02660.1",63.021,24.886,41.488
"AT1G02670.1",0,0,0
"AT1G02670.2",0,0,0
"AT1G02670.3",0,0,0
"AT1G02670.4",0,0,0
"AT1G02670.5",0,0,0
"AT1G02670.6",10.174,12.904,14.893
"AT1G02670.7",0,0,0
"AT1G02680.1",61.452,100.94,105.234
"AT1G02690.1",307.875,386.303,435.703
"AT1G02690.2",0,0,0
"AT1G02700.1",0,0,0
"AT1G02705.1",2.862,0,6.985
"AT1G02710.1",0,0,0
"AT1G02720.1",71.89,65.529,101.446
"AT1G02720.2",0,0,0
"AT1G02730.1",197.63,248.307,278.717
"AT1G02740.1",116.069,98.195,116.871
"AT1G02750.1",233.207,224.487,130.87
"AT1G02750.2",0,0,30.011
"AT1G02770.1",0,0,0
"AT1G02780.1",6559.202,7472.922,8246.006
"AT1G02790.1",0,0,0
"AT1G02800.1",0,2.167,1.895
"AT1G02810.1",219.116,169.364,312.451
"AT1G02813.1",0,0,0
"AT1G02816.1",103.575,86.461,120.814
"AT1G02820.1",1.001,0,0
"AT1G02830.1",0,0,0
"AT1G02840.1",1565.854,2445.115,1384.082
"AT1G02840.2",932.927,816.86,888.472
"AT1G02840.3",303.685,265.803,152.775
"AT1G02840.4",0,0,0
"AT1G02840.5",419.758,585.292,221.938
"AT1G02850.1",15.893,9.983,27.837
"AT1G02850.2",0,0,0
"AT1G02850.3",2.883,11.549,21.823
"AT1G02850.4",10.058,18.222,0
"AT1G02850.5",0,0,0
"AT1G02860.1",1377.586,1320.827,1059.646
"AT1G02860.2",0,27.059,0
"AT1G02860.3",38.909,56.861,36.115
"AT1G02870.1",230.096,283.18,265.623
"AT1G02880.1",15.955,29.751,2.978
"AT1G02880.2",0,0,0
"AT1G02880.3",93.067,115.001,104.436
"AT1G02880.4",99.825,80.701,109.69
"AT1G02880.5",0,4.098,0
"AT1G02880.6",0,0,13.965
"AT1G02890.1",2189.37,2293.607,1724.513
"AT1G02890.2",0,0,0
"AT1G02900.1",907.97,553.219,821.224
"AT1G02910.1",180.159,143.189,132.403
"AT1G02910.2",3.338,27.115,0
"AT1G02920.1",3473.987,2178.862,1488.336
"AT1G02930.1",333.923,293.987,239.927
"AT1G02930.2",673.692,417.429,266.066
"AT1G02940.1",0,0,0
"AT1G02940.2",0,0,0
"AT1G02940.3",0,0,0
"AT1G02940.4",0,0,0
"AT1G02950.1",362.716,263.847,262.613
"AT1G02950.2",60.942,0,26.698
"AT1G02950.3",0,38.883,0
"AT1G02950.4",0,0,0
"AT1G02950.5",0,0,0
"AT1G02960.1",113.832,39.666,32.353
"AT1G02960.2",61.386,111.907,39.625
"AT1G02960.3",0,0,66.217
"AT1G02960.4",70.825,68.653,42.938
"AT1G02960.5",40.548,0,0
"AT1G02960.6",0,0,0
"AT1G02965.1",0,0,0
"AT1G02970.1",10.481,21.739,18.753
"AT1G02980.1",0,0,0
"AT1G02980.2",0,1.001,2
"AT1G02990.1",0,0,0
"AT1G02990.2",0,0,53.086
"AT1G02990.3",201.811,0,0
"AT1G02990.4",81.244,304.052,0
"AT1G02990.5",8.351,0,0
"AT1G02990.6",0,0,201.334
"AT1G03000.1",389.97,379.863,349.19
"AT1G03010.1",30.575,49.36,47.615
"AT1G03010.2",0,0,0
"AT1G03010.3",102.123,119.157,56.164
"AT1G03020.1",2.018,5.504,5.145
"AT1G03030.1",150.944,135.524,175.376
"AT1G03030.2",3.669,29.525,4.071
"AT1G03040.1",395.508,430.411,459.705
"AT1G03040.2",100.158,0,12.99
"AT1G03040.3",48.485,46.429,22.924
"AT1G03050.1",0,2,0
"AT1G03055.1",2,1,0
"AT1G03055.2",0,0,1.003
"AT1G03060.1",1202.126,975.056,1051.057
"AT1G03060.2",438.636,600.379,0
"AT1G03060.3",0,0,0
"AT1G03060.4",201.306,315.268,89.52
"AT1G03070.1",25.756,35.981,25.362
"AT1G03070.2",0,0,8.248
"AT1G03070.3",0,0,0
"AT1G03080.1",556.937,484.407,0
"AT1G03080.2",0,730.642,571.289
"AT1G03080.3",1989.557,1858.987,1106.465
"AT1G03090.1",123.176,268.233,380.407
"AT1G03090.2",4942.643,6735.413,2821.029
"AT1G03100.1",11.743,13.783,20.834
"AT1G03103.1",0,0,0
"AT1G03106.1",1.238,1.001,4.938
"AT1G03110.1",97.149,88.193,171.62
"AT1G03120.1",2.987,0,0
"AT1G03120.2",0,0,0
"AT1G03130.1",75.223,59.658,86.073
"AT1G03140.1",831.258,884.939,878.202
"AT1G03150.1",111.525,108.616,107.578
"AT1G03160.1",101.163,104.134,0
"AT1G03160.2",0,0,0
"AT1G03160.3",0,0,112.636
"AT1G03160.4",0,0,0
"AT1G03165.1",0,0,0
"AT1G03170.1",0,3.007,1.031
"AT1G03180.1",18.547,0,0
"AT1G03180.2",0,0,0
"AT1G03180.3",0,1.63,0
"AT1G03180.4",0,0,18.254
"AT1G03180.5",0,8.592,0
"AT1G03180.6",0,0,0
"AT1G03190.1",109.71,102.483,115.327
"AT1G03190.2",0,0,0
"AT1G03200.1",153.702,206.532,122.715
"AT1G03210.1",721.512,781.089,742.739
"AT1G03210.2",47.595,73.638,47.67
"AT1G03220.1",8830.918,5790.496,13036.298
"AT1G03230.1",473.18,525.671,621.763
"AT1G03240.1",0,1.01,1
"AT1G03250.1",181.7,179.496,223.331
"AT1G03250.2",14.432,0,13.982
"AT1G03250.3",13.295,0,0
"AT1G03250.4",3.325,0,3.2
"AT1G03260.1",64.822,56.366,66.194
"AT1G03270.1",20.976,18.381,14.957
"AT1G03280.1",518.912,568.718,456.925
"AT1G03280.2",10.155,0,4.043
"AT1G03280.3",0,0,0
"AT1G03290.1",66.521,60.792,67.382
"AT1G03290.2",0,0,0
"AT1G03290.3",261.604,199.561,209.063
"AT1G03290.4",0,0,3.716
"AT1G03290.5",409.163,450.352,97.007
"AT1G03290.6",0,0,198.802
"AT1G03300.1",0,0,0
"AT1G03310.1",0,25.033,28.457
"AT1G03310.2",36.51,19.012,22.054
"AT1G03320.1",0,0,0
"AT1G03325.1",0,0,0
"AT1G03330.1",211.678,237.002,284.816
"AT1G03340.1",23.506,23.265,12.345
"AT1G03350.1",496.787,539.364,437.263
"AT1G03360.1",92.507,100.193,110.875
"AT1G03365.1",232.037,264.923,187.25
"AT1G03365.2",4.599,11.944,0
"AT1G03370.1",960.853,797.887,617.118
"AT1G03370.2",135.461,61.001,81.313
"AT1G03380.1",1655.808,1656.032,1433.314
"AT1G03390.1",3,1.001,0
"AT1G03395.1",0,0,0
"AT1G03400.1",100.138,111.33,62.003
"AT1G03400.2",3.822,0,15.665
"AT1G03410.1",260.216,238.914,260.526
"AT1G03410.2",0,0,0
"AT1G03430.1",171.642,183.81,248.727
"AT1G03430.2",17.839,34.765,22.232
"AT1G03440.1",135.779,135.452,148.349
"AT1G03445.1",0,4.841,8.95
"AT1G03445.2",2.56,0,0
"AT1G03457.1",161.814,55.548,114.354
"AT1G03457.2",116.624,195.548,156.075
"AT1G03457.3",223.451,175.132,202.388
"AT1G03470.1",0,0,14.433
"AT1G03470.2",55.694,34.068,51.617
"AT1G03470.3",0,28.306,0
"AT1G03470.4",19.12,28.859,0
"AT1G03475.1",378.4,389.995,355.911
"AT1G03490.1",0,0,0
"AT1G03495.1",106.864,64.117,76.787
"AT1G03510.1",5.109,5.789,2.941
"AT1G03520.1",61.121,90.004,106.176
"AT1G03520.2",41.081,0,0
"AT1G03530.1",162.296,190.424,165.495
"AT1G03540.1",16.094,3.086,2.265
"AT1G03550.1",418.934,441.801,482.283
"AT1G03550.2",15.348,0,0
"AT1G03550.3",58.719,0,0
"AT1G03550.4",0,0,4.854
"AT1G03550.5",0,0,0
"AT1G03550.6",0,41.092,0
"AT1G03550.7",0,0,0
"AT1G03560.1",93.132,94.435,59.228
"AT1G03590.1",192.02,216.592,165.156
"AT1G03600.1",6.851,17.941,48.258
"AT1G03610.1",524.13,746.221,760.166
"AT1G03610.2",15.425,19.842,13.01
"AT1G03620.1",0,0,45.097
"AT1G03620.10",0,0,0
"AT1G03620.11",6.06,52.491,27.684
"AT1G03620.12",0,26.273,0
"AT1G03620.13",0,0,75.079
"AT1G03620.2",0,0,0
"AT1G03620.3",0,0,0
"AT1G03620.4",0,0,5.238
"AT1G03620.5",0,13.092,0
"AT1G03620.6",4.041,4.923,10.25
"AT1G03620.7",45.447,36.571,0
"AT1G03620.8",0,0,0
"AT1G03620.9",33.276,22.932,0
"AT1G03630.1",16.751,20.629,18.116
"AT1G03630.2",0,0,0
"AT1G03650.1",35.162,21.565,23.605
"AT1G03660.1",45.988,84.227,23.36
"AT1G03660.2",49.514,71.826,93.397
"AT1G03670.1",0,0,0
"AT1G03680.1",101.13,81.032,68.308
"AT1G03687.1",66.324,84.237,78.461
"AT1G03687.2",0,10.217,0
"AT1G03700.1",2.006,2.819,4.293
"AT1G03710.1",0,0,0
"AT1G03710.2",0,0,0
"AT1G03720.1",0,0,0
"AT1G03720.2",0,0,0
"AT1G03730.1",137.39,135.113,180.787
"AT1G03740.1",2120.576,2033.45,1483.382
"AT1G03740.2",67.26,34.886,67.713
"AT1G03750.1",122.426,155.305,127.902
"AT1G03760.1",222.258,234.096,179.795
"AT1G03770.1",42.196,0,51.842
"AT1G03770.2",0,0,0
"AT1G03770.3",81.765,112.518,46.199
"AT1G03770.4",0,3.21,0
"AT1G03770.5",0,0,0
"AT1G03770.6",0,9.834,0
"AT1G03780.1",0,0,0
"AT1G03780.2",118.533,153.839,119.256
"AT1G03780.3",0,0,0
"AT1G03790.1",0,1,0
"AT1G03800.1",3.017,1.385,0
"AT1G03810.1",0,0,0
"AT1G03820.1",217.447,162.293,350.982
"AT1G03830.1",40.022,0,0
"AT1G03830.2",55.537,133.756,110.855
"AT1G03840.1",7.551,44.344,38.409
"AT1G03840.2",69.175,49.673,48.404
"AT1G03850.1",18.413,0,37.985
"AT1G03850.2",937.287,1011.674,1632.757
"AT1G03850.3",28.372,55.242,72.079
"AT1G03860.1",696.319,694.909,802.677
"AT1G03860.2",0,25.076,6.615
"AT1G03860.3",6.513,7.422,7.898
"AT1G03870.1",2105.199,1490.432,2242.726
"AT1G03880.1",0,0,0
"AT1G03890.1",0,0,0
"AT1G03900.1",1658.67,1636.225,1645.188
"AT1G03905.1",22.767,30.708,52.689
"AT1G03905.2",0,0,5.838
"AT1G03905.3",23.092,8.653,0
"AT1G03905.4",0,11.265,0
"AT1G03910.1",714.683,868.972,660.595
"AT1G03910.2",19.81,14.917,0
"AT1G03920.1",0,0,0
"AT1G03920.2",19.402,29.379,0
"AT1G03920.3",52.033,30.213,47.607
"AT1G03930.1",144.508,155.821,157.273
"AT1G03940.1",81.417,54.107,55.447
"AT1G03950.1",126.397,112.553,151.187
"AT1G03960.1",100.727,106.446,37.989
"AT1G03960.2",40.453,30.485,32.655
"AT1G03960.3",0,0,0
"AT1G03960.4",0,0,22.949
"AT1G03960.5",0,0,0
"AT1G03960.6",0,0,0
"AT1G03960.7",0,44.252,39.147
"AT1G03970.1",361.274,373.316,340.373
"AT1G03980.1",0,3.187,0
"AT1G03980.2",0,0,0
"AT1G03980.3",19.036,13.355,14.88
"AT1G03980.4",0,0,0
"AT1G03982.1",0,0,0
"AT1G03990.1",45.303,65.642,50.139
"AT1G04000.1",131.004,100.255,110.222
"AT1G04010.1",124.851,110.455,142.483
"AT1G04020.1",30.495,49.798,83.007
"AT1G04020.2",0,0,0
"AT1G04030.1",140.434,179.316,119.096
"AT1G04030.2",0,0,0
"AT1G04040.1",2591.707,2276.815,4328.531
"AT1G04050.1",4.317,17.141,0
"AT1G04050.2",0,0,41.907
"AT1G04050.3",41.621,24.877,0
"AT1G04070.1",47.983,56.342,65.323
"AT1G04080.1",1070.141,1088.671,826.579
"AT1G04080.2",96.705,68.289,141.945
"AT1G04080.3",158.754,213.677,95.057
"AT1G04080.4",0,0,11.107
"AT1G04080.5",21.25,0,0
"AT1G04090.1",10.322,7.491,6.961
"AT1G04100.1",56.448,43.131,56.585
"AT1G04105.1",0,0,0
"AT1G04110.1",1,0,0
"AT1G04120.1",564.554,696.909,981.701
"AT1G04120.2",0,0,0
"AT1G04120.3",439.699,524.596,364.901
"AT1G04130.1",90.789,87.274,104.299
"AT1G04130.2",0,0,0
"AT1G04140.1",1701.463,1993.645,1770.099
"AT1G04140.2",325.491,187.738,236.731
"AT1G04150.1",0,3.273,3.638
